warehouseName,itemName,sku,size,color,barcode,closingStock,reserved,damaged,inTransit
REBEL MASS EXPORT PVT LTD,FSH25-0049 WHITE,DA2068-XL,XL,,DA2068-XL,52,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0056 WHITE,DA2095-L,L,,DA2095-L,52,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0062 L.PURPLE,DA2280-L,L,,DA2280-L,51,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0010-0004133 WHT/GREY,0004133-XL,XL,,0004133-XL,51,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0016-0005046 BLUE,0005046-M,M,,0005046-M,51,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0001-0003769 WINE,0003769-L,L,,0003769-L,51,0,0,1
REBEL MASS EXPORT PVT LTD,FSH25-0062 SKY BLUE,DA2335-XL,XL,,DA2335-XL,50,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0026-0006428 ANTRA,0006428-M,M,,0006428-M,50,0,0,0
REBEL MASS EXPORT PVT LTD,CWC25-15-0003 MUSTARD,DA0983-106.68CM(42),106.68CM (42),,DA0983-106.68CM(42),50,0,0,0
REBEL MASS EXPORT PVT LTD,DCR25-34-0011 G.BLUE,DA1345-81.28CM(32),81.28CM (32),,DA1345-81.28CM(32),50,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0004-0006975 BLUE,0006975-XL,XL,,0006975-XL,50,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0005-0006991 BLUE,0006991-XL,XL,,0006991-XL,50,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0005-0006998 PINK,0006998-L,L,,0006998-L,50,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0005-0007007 PURPLE,0007007-XL,XL,,0007007-XL,50,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0045 WHITE,DA2052-XL,XL,,DA2052-XL,50,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0012 NAVY,DA1181-L,L,,DA1181-L,50,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0020 MAROON,DA1654-M,M,,DA1654-M,50,0,0,0
REBEL MASS EXPORT PVT LTD,DNM26-0006 BLACK,DA4231-86.36CM(34),86.36CM (34),,DA4231-86.36CM(34),49,0,0,0
REBEL MASS EXPORT PVT LTD,DNM26-0006 BLACK,DA4232-91.44CM(36),91.44CM (36),,DA4232-91.44CM(36),49,0,0,0
